#timebase=4000000(ps)
,#voltbase=5000000(mv/100)
#size=4000
2.44E-05,0.800
2.44E-05,1.000
2.44E-05,1.000
2.44E-05,1.000
2.44E-05,0.800
2.45E-05,1.000
2.45E-05,0.800
2.45E-05,1.000
2.45E-05,1.000
2.45E-05,0.800
2.46E-05,1.000
2.46E-05,1.000
2.46E-05,0.600
2.46E-05,0.600
2.46E-05,0.800
2.47E-05,1.000
2.47E-05,1.000
2.47E-05,0.600
2.47E-05,0.800
2.47E-05,1.000
2.48E-05,0.800
2.48E-05,1.000
2.48E-05,1.000
2.48E-05,0.600
2.48E-05,0.800
2.49E-05,1.000
2.49E-05,0.800
2.49E-05,0.600
2.49E-05,0.800
2.49E-05,1.000
2.50E-05,0.800
2.50E-05,0.600
