#timebase=20000000000(ps)
,#voltbase=50000(mv/100)
#size=4000
1.11E-01,-0.016
1.11E-01,-0.006
1.11E-01,-0.008
1.11E-01,-0.010
1.11E-01,-0.012
1.11E-01,-0.020
1.12E-01,-0.006
1.12E-01,-0.020
1.12E-01,-0.038
1.12E-01,-0.034
1.12E-01,-0.026
1.12E-01,-0.016
1.12E-01,-0.026
1.12E-01,-0.022
1.12E-01,-0.026
1.12E-01,-0.014
1.13E-01,-0.028
1.13E-01,-0.026
1.13E-01,-0.030
1.13E-01,-0.032
1.13E-01,-0.032
1.13E-01,-0.042
1.13E-01,-0.042
1.13E-01,-0.036
1.13E-01,-0.040
1.13E-01,-0.034
1.14E-01,-0.040
1.14E-01,-0.032
1.14E-01,-0.036
1.14E-01,-0.030
1.14E-01,-0.026
1.14E-01,-0.034
1.14E-01,-0.034
1.14E-01,-0.026
1.14E-01,-0.026
1.14E-01,-0.030
1.15E-01,-0.028
1.15E-01,-0.028
1.15E-01,-0.032
1.15E-01,-0.032
1.15E-01,-0.042
1.15E-01,-0.050
1.15E-01,-0.040
1.15E-01,-0.042
1.15E-01,-0.034
1.15E-01,-0.030
1.16E-01,-0.028
1.16E-01,-0.032
1.16E-01,-0.016
1.16E-01,-0.030
1.16E-01,-0.036
1.16E-01,-0.040
1.16E-01,-0.014
1.16E-01,-0.032
1.16E-01,-0.026
1.16E-01,-0.026
1.17E-01,-0.014
1.17E-01,-0.024
1.17E-01,-0.024
1.17E-01,-0.028
1.17E-01,-0.018
1.17E-01,-0.022
1.17E-01,-0.018
1.17E-01,-0.016
1.17E-01,-0.014
1.17E-01,-0.018
1.17E-01,-0.016
1.18E-01,-0.014
1.18E-01,-0.014
1.18E-01,-0.012
1.18E-01,-0.010
1.18E-01,-0.008
1.18E-01,-0.010
1.18E-01,-0.008
1.18E-01,-0.010
1.18E-01,-0.010
1.18E-01,-0.006
1.19E-01,-0.002
1.19E-01,-0.006
1.19E-01,-0.002
1.19E-01,-0.006
1.19E-01,-0.006
1.19E-01,-0.002
1.19E-01,-0.002
1.19E-01,0.000
1.19E-01,-0.002
1.19E-01,0.002
1.20E-01,0.000
1.20E-01,0.000
1.20E-01,0.002
1.20E-01,0.002
1.20E-01,0.002
1.20E-01,0.006
1.20E-01,0.008
1.20E-01,0.008
